pattern,replacement
Hypothesis I:,hypothesis 1:
Hypothesis Ia:,hypothesis 1a:
Hypothesis IA:,hypothesis 1a:
Hypothesis Ib:,hypothesis 1b:
Hypothesis IB:,hypothesis 1b:
Hypothesis Ic:,hypothesis 1c:
Hypothesis IC:,hypothesis 1c:
Hypothesis Id:,hypothesis 1d:
Hypothesis ID:,hypothesis 1d:
Hypothesis Ie:,hypothesis 1e:
Hypothesis IE:,hypothesis 1e:
Hypothesis If:,hypothesis 1f:
Hypothesis IF:,hypothesis 1f:
HIa:,hypothesis 1a:
HIA:,hypothesis 1a:
HIb:,hypothesis 1b:
HIB:,hypothesis 1b:
HIc:,hypothesis 1c:
HIC:,hypothesis 1c:
HId:,hypothesis 1d:
HID:,hypothesis 1d:
HIe:,hypothesis 1e:
HIE:,hypothesis 1e:
HIf:,hypothesis 1f:
HIF:,hypothesis 1f:
Hypothesis ia:,hypothesis 1a:
Hypothesis iA:,hypothesis 1a:
Hypothesis ib:,hypothesis 1b:
Hypothesis iB:,hypothesis 1b:
Hypothesis ic:,hypothesis 1c:
Hypothesis iC:,hypothesis 1c:
Hypothesis id:,hypothesis 1d:
Hypothesis iD:,hypothesis 1d:
Hypothesis ie:,hypothesis 1e:
Hypothesis iE:,hypothesis 1e:
Hypothesis if:,hypothesis 1f:
Hypothesis iF:,hypothesis 1f:
Hypothesis i:,hypothesis 1:
Hia:,hypothesis 1a:
HiA:,hypothesis 1a:
Hib:,hypothesis 1b:
HiB:,hypothesis 1b:
Hic:,hypothesis 1c:
HiC:,hypothesis 1c:
Hid:,hypothesis 1d:
HiD:,hypothesis 1d:
Hie:,hypothesis 1e:
HiE:,hypothesis 1e:
Hif:,hypothesis 1f:
HiF:,hypothesis 1f:
Hypothesis L:,hypothesis 1:
Hypothesis La:,hypothesis 1a:
Hypothesis LA:,hypothesis 1a:
Hypothesis Lb:,hypothesis 1b:
Hypothesis LB:,hypothesis 1b:
Hypothesis Lc:,hypothesis 1c:
Hypothesis LC:,hypothesis 1c:
Hypothesis Ld:,hypothesis 1d:
Hypothesis LD:,hypothesis 1d:
Hypothesis Le:,hypothesis 1e:
Hypothesis LE:,hypothesis 1e:
Hypothesis Lf:,hypothesis 1f:
Hypothesis LF:,hypothesis 1f:
HLa:,hypothesis 1a:
HLA:,hypothesis 1a:
HLb:,hypothesis 1b:
HLB:,hypothesis 1b:
HLc:,hypothesis 1c:
HLC:,hypothesis 1c:
HLd:,hypothesis 1d:
HLD:,hypothesis 1d:
HLe:,hypothesis 1e:
HLE:,hypothesis 1e:
HLf:,hypothesis 1f:
HLF:,hypothesis 1f:
Hypothesis l:,hypothesis 1:
Hypothesis la:,hypothesis 1a:
Hypothesis lA:,hypothesis 1a:
Hypothesis lb:,hypothesis 1b:
Hypothesis lB:,hypothesis 1b:
Hypothesis lc:,hypothesis 1c:
Hypothesis lC:,hypothesis 1c:
Hypothesis ld:,hypothesis 1d:
Hypothesis lD:,hypothesis 1d:
Hypothesis le:,hypothesis 1e:
Hypothesis lE:,hypothesis 1e:
Hypothesis lf:,hypothesis 1f:
Hypothesis lF:,hypothesis 1f:
Hla:,hypothesis 1a:
HlA:,hypothesis 1a:
Hlb:,hypothesis 1b:
HlB:,hypothesis 1b:
Hlc:,hypothesis 1c:
HlC:,hypothesis 1c:
Hld:,hypothesis 1d:
HlD:,hypothesis 1d:
Hle:,hypothesis 1e:
HlE:,hypothesis 1e:
Hlf:,hypothesis 1f:
HlF:,hypothesis 1f:
Hypothesis 66:,hypothesis 6b:
